903   0.000000 __libc_start_main(0x401f50, 2, 0x7fff89dd5dc8, 0x406b90, 0x406c20 <unfinished ...>
903   0.000084 strcat("-Dsun.java.command=", "ThreadSpawner")                                                   = "-Dsun.java.command=ThreadSpawner"
903   0.000082 JLI_StrCCmp(0x121c990, 0x406d53, 16, 2, 3)                                                       = 0xffffffec
903   0.000086 JLI_StrCCmp(0x407628, 0x406d53, 32, 2, 3)                                                        = 0xffffffec
903   0.000081 JLI_MemAlloc(45, 0x406d53, 1, 88, 3)                                                             = 0x121c9c0
903   0.000075 getpid()                                                                                         = 903
903   0.000071 __sprintf_chk(0x121c9c0, 1, -1, 0x407a3f, 0x407a26)                                              = 27
903   0.000075 JLI_StrCCmp(0x121c9c0, 0x406d53, 48, 2, 0x407a43)                                                = 0xffffffec
903   0.000081 getenv("_JAVA_SPLASH_JAR")                                                                       = NULL
903   0.000079 getenv("_JAVA_SPLASH_FILE")                                                                      = NULL
903   0.000062 strchr("_JAVA_VERSION_SET", '=')                                                                 = NULL
903   0.000062 strchr("_JAVA_SPLASH_FILE", '=')                                                                 = NULL
903   0.000059 strchr("_JAVA_SPLASH_JAR", '=')                                                                  = NULL
903   0.000077 JLI_MemFree(0, 0, 76, 95, 0x7f9604942548)                                                        = 0
903   0.000069 JLI_MemFree(0, 0, 76, 95, 0x7f9604942548)                                                        = 0
903   0.000088 pthread_attr_init(0x7fffaaad08a0, 0x100000, 0x7fffaaad09c0, 0, 0x7f9604942548)                   = 0
903   0.000096 pthread_attr_setdetachstate(0x7fffaaad08a0, 0, 0, 0, 0x7f9604942548)                             = 0
903   0.000073 pthread_attr_setstacksize(0x7fffaaad08a0, 0x100000, 0, 0, 0x7f9604942548)                        = 0
903   0.000073 pthread_create(0x7fffaaad0890, 0x7fffaaad08a0, 0x403d70, 0x7fffaaad09c0, 0x7f9604942548)         = 0
903   0.000262 pthread_join(0x7f960517e700, 0x7fffaaad0898, 0x7f960517e9d0, -1, 0x7f960517e700 <unfinished ...>
904   0.258750 JLI_MemFree(0x121c940, 0, 0x7f9604350bb8, -1, 0x7f960436ac80)                                    = 0
904   0.000169 JLI_MemFree(0x121a420, 10, 0, 0x7f960493f740, 0x7f960436ac80)                                    = 0x121c700
904   0.000163 JLI_MemFree(0x121a440, 0xffffffff, 0x121c700, 0x7f960493f728, 0x7f960436ac80)                    = 0x121a410
