20973   0.000000 __libc_start_main(0x401f50, 2, 0x7fffacba4bc8, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000064 strspn("ERROR", " \t")                                                                         = 0
20973   0.000056 JLI_StringDup(0x7fff92cfecb0, 0x7fff92cfecbc, 0x21743f0, 0, 0)                                 = 0x2174540
20973   0.000067 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -734810112, 0x2174170) = NULL
20973   0.000080 fclose(0x2174090)                                                                              = 0
20973   0.000105 getenv("JDK_ALTERNATE_VM")                                                                     = NULL
20973   0.000060 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7fe5d4330700)                                            = 0x2174090
20973   0.000069 strchr("server", '/')                                                                          = NULL
20973   0.000064 __sprintf_chk(0x7fff92d01f60, 1, -1, 0x4078da, 0x7fff92d00f60)                                 = 64
20973   0.000106 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff92cffd70)                              = 0
20973   0.000111 getenv("LD_LIBRARY_PATH")                                                                      = "/usr/lib/jvm/java-6-openjdk-amd6"...
20973   0.000066 getgid()                                                                                       = 1000
20973   0.000067 getegid()                                                                                      = 1000
20973   0.000064 getuid()                                                                                       = 1000
20973   0.000062 geteuid()                                                                                      = 1000
20973   0.000064 JLI_StringDup(0x7fff92d01f60, 0x407911, 13, -1, 0x7fff92d01f96)                                = 0x21740b0
20973   0.000069 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 153
20973   0.000061 strlen("amd64")                                                                                = 5
20973   0.000054 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 37
20973   0.000059 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 64
20973   0.000059 JLI_MemAlloc(353, 0x7fff92d01fa1, 0, 48, 0x2f3436646d612f62)                                   = 0x2174100
20973   0.000067 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/libjvm.so"
20973   0.000064 __sprintf_chk(0x2174100, 1, -1, 0x407b90, 0x21740b0)                                           = 169
20973   0.000068 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 153
20973   0.000061 strncmp("/usr/lib/jvm/java-6-openjdk-amd6"..., "/usr/lib/jvm/java-6-openjdk-amd6"..., 153)     = 0
20973   0.000065 dlopen("/usr/lib/jvm/java-6-openjdk-amd6"..., 258)                                             = 0x021745b0
20973   0.003822 dlsym(0x021745b0, "JNI_CreateJavaVM")                                                          = 0x7fe5d2db21e0
20973   0.000102 dlsym(0x021745b0, "JNI_GetDefaultJavaVMInitArgs")                                              = 0x7fe5d2db21a0
20973   0.000074 getenv("CLASSPATH")                                                                            = NULL
20973   0.000059 JLI_WildcardExpandClasspath(0x40790d, 0x407075, 0x40790d, 65, 65535)                           = 0x40790d
20973   0.000077 strlen(".")                                                                                    = 1
20973   0.000057 JLI_MemAlloc(41, 0, 1, 13, 0x407900)                                                           = 0x2176900
20973   0.000067 __sprintf_chk(0x2176900, 1, -1, 0x406f36, 0x40790d)                                            = 19
20973   0.000069 JLI_MemAlloc(64, 0, 0x2176913, 0, 0x406f4a)                                                    = 0x2176940
20973   0.000077 JLI_StrCCmp(0x2176900, 0x406d53, 0, 2, 5)                                                      = 0xffffffec
20973   0.000073 JLI_MemAlloc(37, -1, 0, 18, 5)                                                                 = 0x2176990
20973   0.000068 strcat("-Dsun.java.command=", "ThreadInheritance")                                             = "-Dsun.java.command=ThreadInherit"...
20973   0.000077 JLI_StrCCmp(0x2176990, 0x406d53, 16, 2, 3)                                                     = 0xffffffec
20973   0.000067 JLI_StrCCmp(0x407628, 0x406d53, 32, 2, 3)                                                      = 0xffffffec
20973   0.000065 JLI_MemAlloc(45, 0x406d53, 1, 88, 3)                                                           = 0x21769c0
20973   0.000142 getpid()                                                                                       = 20973
20973   0.000059 __sprintf_chk(0x21769c0, 1, -1, 0x407a3f, 0x407a26)                                            = 29
20973   0.000072 JLI_StrCCmp(0x21769c0, 0x406d53, 48, 2, 0x407a43)                                              = 0xffffffec
20973   0.000081 getenv("_JAVA_SPLASH_JAR")                                                                     = NULL
20973   0.000064 getenv("_JAVA_SPLASH_FILE")                                                                    = NULL
20973   0.000058 strchr("_JAVA_VERSION_SET", '=')                                                               = NULL
20973   0.000058 strchr("_JAVA_SPLASH_FILE", '=')                                                               = NULL
20973   0.000057 strchr("_JAVA_SPLASH_JAR", '=')                                                                = NULL
20973   0.000057 JLI_MemFree(0, 0, 76, 95, 0x7fe5d3af2548)                                                      = 0
20973   0.000066 JLI_MemFree(0, 0, 76, 95, 0x7fe5d3af2548)                                                      = 0
20973   0.000071 pthread_attr_init(0x7fff92cffdd0, 0x100000, 0x7fff92cffef0, 0, 0x7fe5d3af2548)                 = 0
20973   0.000077 pthread_attr_setdetachstate(0x7fff92cffdd0, 0, 0, 0, 0x7fe5d3af2548)                           = 0
20973   0.000069 pthread_attr_setstacksize(0x7fff92cffdd0, 0x100000, 0, 0, 0x7fe5d3af2548)                      = 0
20973   0.000071 pthread_create(0x7fff92cffdc0, 0x7fff92cffdd0, 0x403d70, 0x7fff92cffef0, 0x7fe5d3af2548)       = 0
20973   0.000217 pthread_join(0x7fe5d432e700, 0x7fff92cffdc8, 0x7fe5d432e9d0, -1, 0x7fe5d432e700 <unfinished ...>
20974   0.246057 JLI_MemFree(0x2176940, 0, 0x7fe5d3500bb8, -1, 0x7fe5d351ac80)                                  = 0
